Link,Bedrooms,Bathrooms,Area_m2,Price_per_meter,Address,City,Location_1,Location_2,Unit,Type,Rent_Sale
https://www.propertysorted.com/buy/listing/polished-luxury-living-in-al-narges-exclusive-compound-with-unique-designs-and-amenities-116,3.0,,200.0,35675.0,"Al Narges, New Cairo, Egypt",Cairo,New Cairo,Al Narges,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/countryside-retreat-in-al-narges-exclusive-compound-with-unique-designs-and-luxury-amenities-163,3.0,2.0,180.0,31667.0,"New Narges, New Cairo, Egypt",Cairo,New Cairo,New Narges,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/retal-developments-149,3.0,,175.0,31667.0,"New Narges, New Cairo, Egypt",Cairo,New Cairo,New Narges,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/glorious-three-bedroom-home-in-exclusive-rivali-new-cairo-with-luxury-amenities-awaiting-your-touch-56,3.0,2.0,158.0,48387.0,"Rivali New Cairo, New Cairo, Egypt",Cairo,New Cairo,Rivali New Cairo,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/none-120,3.0,2.0,160.0,38293.0,"South of Academy, New Cairo, Egypt",Cairo,New Cairo,South of Academy,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/apartment-for-sale-in-fifth-settlement-lila-98,3.0,2.0,155.0,44118.0,"Leila, New Cairo, Egypt",Cairo,New Cairo,Leila,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/apartment-for-sale-in-fifth-settlement-lila-99,3.0,3.0,172.0,44118.0,"Leila, New Cairo, Egypt",Cairo,New Cairo,Leila,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/duplex-for-sale-in-lotus-new-cairo-3444,4.0,4.0,268.0,38298.0,"South Lotus, New Cairo, Egypt",Cairo,New Cairo,South Lotus,Duplex,Residential,Sale
https://www.propertysorted.com/buy/listing/3-bedroom-apartment-for-sale-rehab-5th-phase-new-cairo-3638,3.0,2.0,150.0,55396.0,"Al Rehab, New Cairo, Egypt",Cairo,New Cairo,Al Rehab,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/crisp-elegance-awaits-in-mariouteya-tunnel-luxury-3-bedroom-compound-with-unique-designs-3659,3.0,2.0,150.0,12000.0,"Mariouteya Tunnel, New Cairo, Egypt",Cairo,New Cairo,Mariouteya Tunnel,Apartment,Residential,Sale
